id,user_id,points_balance,lifetime_points,tier_id,referral_code,referrals_count,created_at,updated_at
1,5,999979989,1000002289,\N,4A39BAAB,0,2025-11-03T17:29:22,2025-11-12T12:47:17
2,1,1584,1584,\N,43417451,0,2025-11-03T17:57:00,2026-04-23T08:15:50
3,2,430,430,\N,091BAE9D,0,2025-11-04T06:45:15,2025-11-06T05:17:57
4,6,1000000100,1000000100,\N,871CB7A9,0,2025-11-05T12:47:58,2025-11-08T07:04:27
5,7,100,100,\N,EF8CCFC0,0,2025-11-06T06:31:03,2025-11-06T06:31:03
6,9,100,100,\N,42CB06A4,0,2025-11-07T04:41:06,2025-11-07T04:41:06
7,10,100,100,\N,90937BB9,0,2025-11-07T06:21:52,2025-11-07T06:21:52
8,11,100,100,\N,25477251,0,2025-11-08T04:49:29,2025-11-08T04:49:29
9,12,100,100,\N,C71CC6C8,0,2025-11-12T11:51:42,2025-11-12T11:51:42
10,13,100,100,\N,94EC569A,0,2025-11-12T11:57:14,2025-11-12T11:57:14
11,14,100,100,\N,6DA4EA4C,0,2025-11-13T05:42:38,2025-11-13T05:42:38
