id,order_id,product_id,variant_id,quantity,unit_price,total_price,product_name,product_image,variant_details
1,1,\N,\N,1,0.0,0.0,\N,\N,\N
2,2,\N,\N,1,199.02,199.02,\N,\N,\N
3,3,\N,\N,1,199.02,199.02,\N,\N,\N
4,3,2,\N,1,706.95,706.95,Smartphone 128GB,/uploads/smartphone.jpg,\N
5,4,\N,\N,1,199.02,199.02,\N,\N,\N
6,4,2,\N,1,706.95,706.95,Smartphone 128GB,/uploads/smartphone.jpg,\N
7,5,\N,\N,1,199.02,199.02,\N,\N,\N
8,6,\N,\N,1,199.02,199.02,\N,\N,\N
9,7,\N,\N,1,199.02,199.02,\N,\N,\N
10,7,2,\N,1,706.95,706.95,Smartphone 128GB,/uploads/smartphone.jpg,\N
11,7,\N,\N,1,332.23,332.23,Cotton T-Shirt,/uploads/tshirt.jpg,\N
12,8,119,\N,1,78.34,78.34,Wireless Bluetooth Headphones - White,/uploads/wireless-headphones.jpg,\N
13,9,\N,\N,1,199.02,199.02,\N,\N,\N
14,10,1583,\N,1,89.99,89.99,Test Product - Smart Bluetooth Speaker,\N,\N
15,10,1324,\N,1,230.09,230.09,Wireless Charger - Small,https://via.placeholder.com/400x400?text=Product+Image,\N
