id,seller_id,category_id,title,slug,description,short_description,price,compare_price,sku,inventory_count,weight,dimensions,images,is_active,is_featured,has_variants,approval_status,rejection_reason,approved_at,approved_by,rating,review_count,view_count,created_at,updated_at
2,1,1,Smartphone 128GB,smartphone-128gb,"Latest smartphone with 128GB storage, dual camera, and fast charging.",Latest smartphone with 128GB storage,706.95,799.99,SP-128-001,19,\N,\N,"[""/uploads/products/product_2.png""]",true,true,true,approved,\N,\N,\N,0.0,0,3481,2025-09-17T08:45:34,2026-04-23T08:15:50
5,1,2,Denim Jeans,denim-jeans,Classic denim jeans with perfect fit and premium quality fabric.,Classic denim jeans with perfect fit,70.6,99.99,DJ-001,75,\N,\N,"[""/uploads/products/product_5.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T08:45:34,2025-11-07T20:09:08
6,1,2,Winter Jacket,winter-jacket,Warm and stylish winter jacket perfect for cold weather.,Warm and stylish winter jacket,69.88,\N,WJ-001,30,\N,\N,"[""/uploads/products/product_6.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T08:45:34,2025-11-07T20:09:08
7,2,3,The Great Gatsby,the-great-gatsby,Classic American novel by F. Scott Fitzgerald. A timeless story of love and tragedy.,Classic American novel by F. Scott Fitzgerald,454.44,\N,TGG-001,200,\N,\N,"[""/uploads/products/product_7.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T08:45:34,2025-11-07T20:09:08
8,2,3,Python Programming Guide,python-programming-guide,Comprehensive guide to Python programming for beginners and advanced users.,Comprehensive Python programming guide,261.95,\N,PPG-001,79,\N,\N,"[""/uploads/products/product_8.png""]",true,true,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T08:45:34,2025-11-12T12:47:17
11,1,1,Laptop Computer Elite 1,laptop-computer-elite-1-2,Powerful laptop for work and gaming,\N,432.35,\N,SKU-000002,100,\N,\N,"[""/uploads/products/product_11.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T13:52:38,2025-11-07T20:09:08
14,1,3,Coffee Maker Elite 1,coffee-maker-elite-1-5,Automatic coffee maker with timer,\N,451.82,\N,SKU-000005,45,\N,\N,"[""/uploads/products/product_14.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T13:52:38,2025-11-07T20:09:08
15,1,1,Desk Chair Plus 1,desk-chair-plus-1-6,Ergonomic office chair,\N,370.06,\N,SKU-000006,35,\N,\N,"[""/uploads/products/product_15.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T13:52:38,2025-11-07T20:09:08
16,1,4,Bluetooth Speaker Pro 1,bluetooth-speaker-pro-1-7,Portable wireless speaker,\N,399.78,\N,SKU-000007,12,\N,\N,"[""/uploads/products/product_16.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T13:52:38,2025-11-07T20:09:08
17,1,5,Wireless Headphones Elite 2,wireless-headphones-elite-2-8,High-quality wireless headphones,\N,258.53,\N,SKU-000008,44,\N,\N,"[""/uploads/products/product_17.png""]",true,false,false,approved,\N,\N,\N,0.0,0,\N,2025-09-17T13:52:38,2025-11-07T20:09:08
